"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"RM_Dis_map_ratio",-0.0260858052731705,-0.00527464700683026,0.00668110298918781,-0.00210543519968585,0.020962812484204,0.0114905752845618,0.0217431965344514,0.0217431965344922,0.0114905752845685,-0.00527464700668683,-0.00527464700668844,-0.00687791938597166
"RM_Soft_pro",0.0455614331476125,0.00987259137571696,-0.00248186842480517,-0.014101227042356,0.0131104038715543,-0.0149208938597287,0.00987259137571653,0.0514646873094464,0.0455614331476125,-0.014101227042356,-0.00197158412819251,-0.00197158412819495
"RM_Ins_90_percentile",0.00922636135543936,0.00922636135543649,0.00464337902863513,0.00922636135543775,0.000969296368128956,-0.00407143945851648,0.0107991061231991,0.0487171821602257,0.0190221072976354,-0.00407143945851697,-0.0105658772994018,-0.00407143945851628
"R_Cov_sd",-0.00144371929079831,0.00170957604061161,0.010021330192291,-0.00640666214785798,0.00960922401778181,0.00224459351456674,-0.00144371929079776,0.00224459351456661,0.0419950418771976,-0.00349786239068268,0.00170957604066097,-0.00640666214785754
"R_Cov_pro",0.00380628148371538,0.00525717490015475,-0.00193022994911327,0.00285319296086945,0.0292178727963682,0.00380628148372394,0.00380628148372395,0.195360372162482,0.00525717490014734,0.00251661198991467,8.08670586766154e-05,0.00285319296087092
"R_Insert_sd",0.00644725240190164,0.00082963249448128,0.000829632494474012,-0.0131334132297842,0.000829632494472439,0.0191441988099219,-0.00761884488875853,0.025404193100013,0.0254041931000127,0.00748950613303485,0.000829632494474032,-0.00980709029250676
"R_Mapping_q_sd",0.0188062010322992,0.00328789654887636,-0.00501561266051179,0.00643697532777233,0.0131972251087258,0.000461072637597404,0.00618238856638304,0.0188062010322988,0.0188062010322946,-0.00990544896439957,0.00328789654887772,0.00328789654887628
"R_Ins_90_percentile",-0.0059997783899579,0.000575169656070617,-0.000834980485654155,0.00723846971032789,0.000575169656048038,-0.00553517661632533,0.0150630418614256,0.000575169656047675,0.0131471271496659,-5.85232376483268e-05,0.00723846971032808,0.000575169656070979
"R_Diff_90_percentile",-0.0122009100143036,0.00140993839252984,-0.00359422822093197,0.00953473175243546,0.00140993839254526,-0.00158811488668557,0.00971717299799383,0.00971717299799505,0.0163313188890377,0.00140993839261219,0.00140993839262681,-0.00368299959251718
"L_Dis_map",-0.0228776909986682,0.0209639315731284,0.0209639315731269,-0.0119014548896768,0.0271651549933566,-0.00473059894830168,0.0121155959143653,0.0271651549933791,0.0271651549933798,-0.003287638835926,-0.00328763883583972,-0.00473059894830162
"L_Mapping_10_percentile",-0.0033822327851624,-0.0210861518148875,-0.00338223278516299,-0.015925672320994,-0.021086151814886,0.00281677754147484,-0.00338223278516325,-0.145628170719119,-0.00960776176548196,-0.015925672320994,0.0028167775414745,-0.0109151497416403
"LM_Cov",-0.00464630419178669,-0.0046463041916912,0.00393398906223051,-0.0194954711343418,0.00545488858818272,-0.00464630419174992,-0.0132079695913238,-0.00464630419175534,-0.0046463041917482,-0.00176990238680748,0.030899376647762,-0.00464630419175596
"LM_Soft_10_percentile",0.0107270973749013,0.0107270973751219,0.0107270973749627,0.0107270973749788,0.0107270973749498,-0.0274778372945651,0.050696706002599,0.0107270973749982,0.0419937548805644,-0.0406600792205595,-0.0357273904660006,-0.0114235065073458
"LM_Del",-0.0139174125809486,0.00380364759291914,0.0190102255796526,0.00380364759291833,0.00380364759291863,-0.0184623169940575,0.00380364759291868,0.00457808979568972,0.028539627189349,0.0038036475929183,-0.0045746880464238,-0.00457468804642369
"LM_Del_10_percentile",-0.000425285350354612,-0.000701032237771495,-0.000774819581607693,0.00397927760859622,-0.000425285350354666,-0.00077133923702321,-0.000701032237771312,-0.000701032237771495,0.00670196223690266,-0.000701032237771294,0.0107337900819114,-0.000774819581607705
"M_Insert_90_percentile",0.00173466065185815,0.00162070667345956,-0.00103623099214387,0.00162070667346315,-0.00103623099214431,-0.00467135535209607,0.000378792891943744,0.00037879289194384,-0.00103623099214382,0.00183970765092714,-0.00103623099214386,0.00586393958632667
"M_Dis_unmap_ratio",-0.00190226712831994,-0.00190226712831568,-0.00190226712831635,0.00551185173587718,0.0171898022632012,-0.00190226712831542,0.0318428076328526,0.020279011774556,-0.00209966721672952,-0.00441659323996163,-0.00190226712831614,-0.00190226712831504
"M_Soft_pro",0.0395794531518369,-0.00341106456834215,-0.00341106456833648,-0.00341106456834239,-0.00366403251109361,-0.00402207309548835,0.0122476619523987,0.0395794531518378,0.0387204292200004,-0.00402207309548713,-0.00365341415249405,-0.00341106456834226
"RM_Del",0.00126669431111174,0.0012666943110828,0.00479207408197,0.00239128470671762,-0.0025052570761753,0.00126669431108693,0.00232103374846743,0.0012666943110932,0.0211572130327134,0.00126669431111355,0.000796217558273405,-0.00250525707617524
"R_Soft",0.0203690954135428,0.00557244938962439,-0.00642864252749758,0.00557244938962421,0.00557244938962437,0.00557244938962435,0.0114931113223862,0.00557244938962513,0.0394157479219179,-0.0118483420711161,-0.0168568971599778,0.00557244938962437
"R_Del_90_percentile",0.00311231181432883,0.0088865163987272,0.0223571616771251,-0.000827278725749389,-0.00381728106022353,0.000245563744049907,0.00888651639872693,0.0031123118143298,0.00311231181433018,0.00311231181433013,-0.014186056801693,0.00311231181433027
"LM_Diff_10_percentile",0.00784592869157064,-0.00336188753625969,-0.00660442779269214,-0.0104460037153497,-0.00361259840681259,0.0173256446981196,-0.00660442779269202,-0.00361259840681218,-0.00361259840681254,-0.00336188753625844,-0.00336188753625836,-0.00336188753625858
"M_Del_10_percentile",-0.000574582450235487,-0.00065940984930274,-0.000659409849302753,0.000612517782677691,-0.00129848663324734,-0.000659409849302768,-0.000659409849302768,0.000612517782677323,-0.00251518288712527,-0.000450102528476799,0.000612517782677674,-0.000450102528476798
"LM_Del_sd",0.00529407011604192,0.005294070116044,0.00529407011604229,0.00529407011604216,0.00529407011604239,-0.0108052915423469,0.00470791933374552,0.00529407011604061,0.0147507507195698,0.00529407011604232,0.0052940701160423,0.00401267177572677
"M_Diff_10_percentile",-0.0016392497280265,-0.00163924972808259,-0.00307567051905945,-0.00166147238177377,-0.00163924972802895,0.00303017206513261,-0.00163924972804887,-0.0016392497280443,-0.00166147238176956,-0.00163924972804442,-0.00163924972805228,-0.000629641424891257
"RM_Del_90_percentile",0.00204350455241647,0.00204350455242069,0.00351478101893967,0.00282600415514349,0.00204350455241883,0.00204350455241903,0.00331349713223754,0.00204350455241912,0.00351478101894021,0.00204350455241849,0.00204350455241883,-0.00111334537463687
"R_Insert",0.000801208022413973,0.000801208022413421,-0.00423779999698693,-0.0122754426027968,0.000801208022413628,0.0231458960957831,0.0065440736390545,0.00654407363905484,0.000801208022413628,0.000801208022413589,0.000801208022413549,0.000801208022413646
"R_Dis_map",0.00601638303508192,0.00601638303502497,0.00601638303502672,0.00601638303506862,0.0279685541322003,0.00601638303503506,0.0062643422551258,0.0114631876392208,0.00601638303502403,0.00601638303507074,0.00601638303502393,-0.0195528465916795
"R_Dis_unmap_ratio",0.00826743087637508,0.00826743087638728,-0.00360712829278416,0.0320488027477798,0.00826743087638516,0.00807218475210314,-0.00500715008327265,0.00826743087637723,0.0082674308763759,0.00826743087638067,0.00826743087637017,-0.00360712829278417
"R_Dis_map_ratio",0.00696996571119394,0.00696996571095825,0.00134786512177956,0.00696996571110425,0.0168722486911962,0.0146525800810201,0.0168722486911963,0.00696996571110261,0.00696996571107816,0.00696996571111668,0.00696996571110123,-0.0074634426488865
"L_Diff_sd",0.00922627244358156,0.00922627244357893,0.00922627244357943,0.00922627244358895,0.00922627244358941,-0.017148215583126,0.00922627244358739,0.00922627244358828,0.0308613999455011,0.00922627244358987,0.00922627244358873,-0.0159801883384924
"LM_Mapping_90_percentile",-0.00326536068132386,-0.00326536068122035,-0.00320339243628432,-0.00382104872621849,-0.0200199997098204,-0.00326536068135863,-0.00326536068139064,-0.0032653606813765,-0.003265360681376,-0.00382104872619291,-0.00326536068147924,-0.00326536068137096
"M_GCcontent",0.00326866104611456,0.00326866104611463,0.00326866104611462,-0.0101302424159185,0.0032686610461146,0.00586454020172468,0.00326866104611455,0.00326866104611446,0.00326866104611451,0.00326866104611456,0.00326866104611452,0.00249671823563017
"RM_Diff_90_percentile",-0.00199605790223779,-0.00199605790223701,-0.00199605790223769,0.00831793609024711,0.00831793609024717,-0.00199605790223772,0.0067129251321223,-0.00199605790223927,0.0215906875436947,-0.00199605790223772,-0.00199605790223784,-0.00199605790223751
